country_id,gpd_campaign_id,channel_id,product_id,date,campaign_desc,campaign_platform_start_date,campaign_platform_end_date,frequency,in_platform_reach,brand,portfolio,strategic_cell,vendor_id,campaign_desc_old,campaign_type,shortened_campaign_name,campaign_subproduct,segment,media_channel,business_channel,media_objective,starting_monthyear,campaign_code,campaign_advertiser,campaign_naming_convention_flag,channel_desc,platform_desc,Mars_Period,Country,local_currency,Region,CLUSTER,views,completed_views,impressions,clicks,actual_spend_dollars,actual_spend_local_currency,video_plays,planned_spend_dollars,planned_spend_local_currency,publisher
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/25/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,7.363636364,350599,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,270624,35151,1095517,1941,49615,45783.21925,539086,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/5/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,6.909090909,278071,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,417037,18010,1187903,2974,52847,48765.61095,657936,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/10/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,5.7,246804,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,266673,43717,957722,2492,34967,32266.48851,583430,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/23/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,6,351493,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,180014,20203,961056,1440,43264,39922.70881,396896,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/27/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,6.666666667,253162,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,104423,23884,760126,1306,37758,34841.93878,328267,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,10/31/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,7.571428571,272814,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,11,GERMANY,EUR,EU/CEABT,DACH,202394,38816,1186153,3368,45161,41673.20295,587081,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/24/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,7,265156,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,473516,39697,1544182,6236,72385,66794.68558,937815,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/3/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,5.272727273,296858,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,254003,24380,946757,1629,36945,34091.727,434145,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/19/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,9.142857143,57637,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,79804,2944,522946,622,31353,28931.59877,148885,0,0,Dv360
DE,DATAROMA_DE_3,DATAROMA_DE_1,DATAROMA_DE_MW_1,11/26/2024,de_kin_p11-12-vnp_mw_eu_other_brand_social_views_dir-nadr_1024_118759,10/30/2024,12/6/2024,6.4,152279,Kind,miscellaneous,miscellaneous,DATORAMA,DE_Kind_mw_eur_Dv360_3,bid-adr,de_kin_p11-12-vnp_mw_eu_other_brand_social,kind,MW,social,brand,views,102024,3,DE_ESS_MARS_MW_Kind_EUR,Compliant,PROGRAMMATIC,DV360,12,GERMANY,EUR,EU/CEABT,DACH,162426,20223,683834,1880,32860,30322.21273,352462,0,0,Dv360
